HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

16.117	1.076	0.132
16.133	1.064	0.188
16.150	1.110	0.244
16.167	1.130	0.260
16.183	1.120	0.252
16.200	1.126	0.264
16.217	1.146	0.252
16.233	1.108	0.236
16.250	1.164	0.232
16.267	1.144	0.240
16.283	1.176	0.280
16.300	1.132	0.304
16.317	1.184	0.268
16.333	1.184	0.260
16.350	1.218	0.304
16.367	1.194	0.272
16.383	1.182	0.268
16.400	1.138	0.272
16.417	1.100	0.288
16.433	1.148	0.256
16.450	1.092	0.212
16.467	1.200	0.224
16.483	1.208	0.292
16.500	1.222	0.308
16.517	1.226	0.332
16.533	1.204	0.348
16.550	1.188	0.344
16.567	1.184	0.296
16.583	1.186	0.244
16.600	1.162	0.240
16.617	1.228	0.268
16.633	1.270	0.276
16.650	1.256	0.288
16.667	1.212	0.324
16.683	1.168	0.368
16.700	1.210	0.332
16.717	1.246	0.296
16.733	1.260	0.304
16.750	1.256	0.336
16.767	1.252	0.328
16.783	1.238	0.312
16.800	1.270	0.308
16.817	1.234	0.348
16.833	1.196	0.368
16.850	1.236	0.356
16.867	1.244	0.356
16.883	1.216	0.356
16.900	1.242	0.332
16.917	1.280	0.340
16.933	1.254	0.308
16.950	1.294	0.312
16.967	1.270	0.328
16.983	1.238	0.360
